Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
6668,Shot Chart Detail,21500016,2,202362,Lance Stephenson,1610612746,LA Clippers,1,11,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,159,1,1,20151028,SAC,LAC
6669,Shot Chart Detail,21500016,15,202362,Lance Stephenson,1610612746,LA Clippers,1,10,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,92,198,1,1,20151028,SAC,LAC
6670,Shot Chart Detail,21500016,231,202362,Lance Stephenson,1610612746,LA Clippers,2,4,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,21,1,0,20151028,SAC,LAC
6671,Shot Chart Detail,21500016,350,202362,Lance Stephenson,1610612746,LA Clippers,3,6,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,7,1,1,20151028,SAC,LAC
6672,Shot Chart Detail,21500016,361,202362,Lance Stephenson,1610612746,LA Clippers,3,6,11,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151028,SAC,LAC
6673,Shot Chart Detail,21500020,25,202362,Lance Stephenson,1610612746,LA Clippers,1,9,33,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,48,149,1,0,20151029,LAC,DAL
6674,Shot Chart Detail,21500020,338,202362,Lance Stephenson,1610612746,LA Clippers,3,8,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,13,1,0,20151029,LAC,DAL
6675,Shot Chart Detail,21500020,341,202362,Lance Stephenson,1610612746,LA Clippers,3,8,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,135,229,1,0,20151029,LAC,DAL
6676,Shot Chart Detail,21500020,353,202362,Lance Stephenson,1610612746,LA Clippers,3,7,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,53,252,1,1,20151029,LAC,DAL
6677,Shot Chart Detail,21500020,355,202362,Lance Stephenson,1610612746,LA Clippers,3,6,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,22,262,1,0,20151029,LAC,DAL
